Indicativo;31/01/2024;29/02/2024;31/03/2024;30/04/2024;31/05/2024;30/06/2024;31/07/2024;31/08/2024;30/09/2024;31/10/2024;30/11/2024;31/12/2024;anual;Año
1387;17;15;19;14;20;16;12;12;13;23;17;15;193;2024
1387E;13;12;22;13;17;12;12;13;18;23;15;14;184;2024
1428;17;19;21;13;19;13;10;12;15;22;18;15;194;2024
8175;11;8;11;3;5;7;1;2;5;15;5;2;75;2024
8178D;11;7;11;4;3;6;1;1;7;13;5;3;72;2024
8025;4;4;;5;2;4;1;2;7;7;4;4;;2024
8019;5;9;6;3;2;5;1;2;9;7;3;4;56;2024
6325O;7;2;9;4;0;1;0;2;3;6;5;3;42;2024
9091O;12;16;14;13;16;18;8;13;19;22;9;20;180;2024
1212E;16;12;;14;18;19;13;12;20;20;13;14;;2024
1249X;15;10;16;;22;17;14;13;17;13;;18;;2024
2444;8;;;5;;;;2;3;;11;6;;2024
4452;12;11;13;7;3;5;0;0;3;17;10;7;88;2024
B954;7;6;7;8;5;3;1;3;10;11;13;10;84;2024
B893;9;12;10;7;8;7;5;4;12;14;8;10;106;2024
B278;6;8;10;7;6;4;1;4;9;11;6;9;81;2024
B228;7;7;11;7;9;4;;;11;;;11;;2024
0200E;9;8;13;12;12;13;6;8;15;16;12;5;129;2024
0076;8;7;10;8;8;12;4;4;13;11;9;4;98;2024
1082;15;19;19;17;23;19;7;15;17;21;13;20;205;2024
2331;10;14;11;10;14;15;7;7;16;19;8;10;141;2024
3469A;19;14;15;9;6;10;1;0;5;21;14;4;118;2024
5973;8;8;12;3;0;;1;;;;;;;2024
5960;9;7;13;5;2;5;2;0;3;13;10;3;72;2024
5910;9;9;15;4;0;4;1;0;3;15;7;3;70;2024
1109X;14;13;15;13;18;19;15;15;15;21;14;17;189;2024
1111;13;17;17;17;;;;;;;;;;2024
1111X;;17;17;17;20;20;14;15;17;;13;16;;2024
1109;14;15;14;14;;21;13;15;15;21;11;18;;2024
8501;;4;7;6;4;7;3;3;9;10;9;3;;2024
8500A;4;5;9;7;7;7;5;3;10;17;11;5;90;2024
5000C;7;10;13;4;1;1;0;1;2;15;8;7;69;2024
4121;9;8;15;6;1;6;0;4;2;12;5;1;69;2024
5402;8;11;14;7;2;7;1;1;3;16;9;6;85;2024
8096;13;10;12;5;6;10;5;5;5;16;6;6;99;2024
1024E;13;20;19;16;21;19;12;16;18;16;10;18;198;2024
1014;11;21;16;18;21;18;15;13;18;19;10;19;199;2024
0367;5;7;16;11;17;11;7;5;12;16;13;6;126;2024
5530E;7;12;15;5;1;2;0;1;3;13;3;3;65;2024
5514;9;10;14;6;3;6;2;1;5;14;6;7;83;2024
3168D;10;8;12;5;6;8;1;4;3;13;6;7;83;2024
3013;12;11;14;8;11;11;4;7;9;18;7;6;118;2024
4642E;11;13;22;9;1;7;3;0;3;15;12;7;103;2024
9898;6;11;13;7;9;6;3;5;9;21;8;3;101;2024
5270B;;8;;6;1;3;0;1;2;14;4;2;;2024
9170;10;14;12;6;14;8;4;7;13;19;7;18;132;2024
C249I;0;1;8;0;0;0;1;1;0;3;3;6;23;2024
C029O;1;3;14;3;3;1;2;1;1;7;5;6;47;2024
C649I;4;5;12;6;4;4;0;0;2;9;5;8;59;2024
2661;10;11;10;11;11;14;5;4;11;20;11;6;124;2024
1549;12;15;18;9;16;10;4;4;13;20;13;9;143;2024
9771C;8;9;11;8;6;8;1;6;7;19;9;3;95;2024
1505;14;17;;;;10;;;14;19;15;15;;2024
3191E;11;10;14;6;6;12;1;5;6;16;9;4;100;2024
3129;9;8;15;5;12;11;0;4;3;15;9;7;98;2024
3196;11;9;13;6;7;9;0;5;4;16;6;6;92;2024
3200;11;8;9;6;6;10;2;4;4;13;4;3;80;2024
3195;11;8;14;4;4;10;0;5;2;;6;;;2024
3175;10;9;12;4;4;11;1;1;4;13;6;7;82;2024
2462;8;4;2;1;8;11;2;1;8;19;13;7;84;2024
6155A;7;;;5;1;3;1;2;5;;4;4;;2024
6000A;5;4;11;5;0;3;0;5;5;7;0;1;46;2024
7178I;4;6;8;4;2;3;1;3;6;9;3;3;52;2024
7228;5;8;8;5;4;5;0;2;4;10;4;6;61;2024
7031;7;7;6;6;3;3;0;3;7;6;3;7;58;2024
9263D;7;15;17;11;13;12;8;7;14;20;9;18;151;2024
9262;8;15;17;10;11;9;4;5;10;16;6;13;124;2024
1690A;13;;;12;17;8;;3;;;13;;;2024
1484C;;;17;;;11;9;5;14;;16;13;;2024
1495;18;18;21;;16;12;10;10;15;25;16;15;;2024
2867;14;13;11;7;7;9;2;2;8;17;11;6;107;2024
C929I;3;2;10;2;2;4;2;1;1;6;7;5;45;2024
C430E;1;3;3;2;0;0;0;1;0;5;2;3;20;2024
C139E;6;6;11;4;10;10;0;2;6;8;7;9;79;2024
C449C;2;3;10;3;1;1;0;;0;7;4;;;2024
C447A;9;7;20;7;11;12;7;3;4;11;14;11;116;2024
C429I;1;1;5;2;3;2;0;1;2;4;4;4;29;2024
2465;13;10;8;7;9;10;2;5;7;16;5;7;99;2024
5796;8;10;14;5;3;6;3;0;3;14;10;5;81;2024
5783;9;10;14;10;2;8;3;0;4;17;9;3;89;2024
2030;10;11;11;10;15;10;5;7;11;19;8;6;123;2024
0016A;6;6;14;8;9;12;3;6;12;10;9;3;98;2024
9981A;6;8;10;6;11;;6;;;16;9;;;2024
9381I;9;9;11;7;13;9;2;6;8;15;7;12;108;2024
8368U;6;7;13;2;;;1;;7;12;;4;;2024
3260B;10;8;13;1;4;8;0;2;4;12;4;;;2024
8416;5;6;10;5;5;10;5;3;13;15;5;6;88;2024
8414A;4;6;10;6;2;8;7;3;13;13;6;4;82;2024
2422;14;12;11;10;11;10;6;4;7;21;11;8;125;2024
2539;12;8;6;8;12;11;4;4;7;17;7;4;100;2024
2614;16;9;12;9;11;5;2;2;5;12;9;6;98;2024
9390;8;8;13;6;9;9;4;7;8;18;7;10;107;2024
9434;9;9;14;7;8;6;3;5;6;18;6;6;97;2024
